Date,^OEX
2000-01-03,788.7899780273438
2000-01-04,759.010009765625
2000-01-05,761.52001953125
2000-01-06,762.6400146484375
2000-01-07,783.489990234375
2000-01-10,790.9199829101562
2000-01-11,785.25
2000-01-12,782.72998046875
2000-01-13,787.9600219726562
2000-01-14,797.52001953125
2000-01-18,795.6799926757812
2000-01-19,790.3099975585938
2000-01-20,783.3300170898438
2000-01-21,779.780029296875
2000-01-24,758.739990234375
2000-01-25,767.3099975585938
2000-01-26,762.7899780273438
2000-01-27,759.6099853515625
2000-01-28,738.0399780273438
2000-01-31,754.260009765625
2000-02-01,766.8900146484375
2000-02-02,763.9199829101562
2000-02-03,771.9600219726562
2000-02-04,775.510009765625
2000-02-07,774.1900024414062
2000-02-08,782.2100219726562
2000-02-09,765.469970703125
2000-02-10,768.97998046875
2000-02-11,752.0399780273438
2000-02-14,756.7999877929688
2000-02-15,763.0599975585938
2000-02-16,754.2000122070312
2000-02-17,752.1900024414062
2000-02-18,728.52001953125
2000-02-22,731.5800170898438
2000-02-23,736.2999877929688
2000-02-24,731.1599731445312
2000-02-25,719.780029296875
2000-02-28,727.75
2000-02-29,738.6400146484375
2000-03-01,743.5399780273438
2000-03-02,750.260009765625
2000-03-03,765.9500122070312
2000-03-06,752.9600219726562
2000-03-07,732.25
2000-03-08,739.8599853515625
2000-03-09,756.969970703125
2000-03-10,749.5
2000-03-13,743.0
2000-03-14,730.75
2000-03-15,749.2999877929688
2000-03-16,781.9299926757812
2000-03-17,786.739990234375
2000-03-20,785.2999877929688
2000-03-21,806.8699951171875
2000-03-22,810.5499877929688
2000-03-23,831.7000122070312
2000-03-24,832.6500244140625
2000-03-27,830.1699829101562
2000-03-28,821.4000244140625
2000-03-29,827.5
2000-03-30,813.8099975585938
2000-03-31,815.0599975585938
2000-04-03,820.6199951171875
2000-04-04,813.2899780273438
2000-04-05,806.2899780273438
2000-04-06,814.0900268554688
2000-04-07,821.52001953125
2000-04-10,817.1400146484375
2000-04-11,816.760009765625
2000-04-12,792.9000244140625
2000-04-13,777.2899780273438
2000-04-14,731.9600219726562
2000-04-17,762.489990234375
2000-04-18,785.9199829101562
2000-04-19,771.6199951171875
2000-04-20,777.1199951171875
2000-04-24,772.5499877929688
2000-04-25,795.5499877929688
2000-04-26,789.0700073242188
2000-04-27,790.7000122070312
2000-04-28,781.4199829101562
2000-05-01,791.1199951171875
2000-05-02,779.25
2000-05-03,761.1799926757812
2000-05-04,756.8099975585938
2000-05-05,769.7899780273438
2000-05-08,763.5900268554688
2000-05-09,757.8200073242188
2000-05-10,739.9099731445312
2000-05-11,754.739990234375
2000-05-12,761.6699829101562
2000-05-15,776.530029296875
2000-05-16,784.22998046875
2000-05-17,772.530029296875
2000-05-18,766.8300170898438
2000-05-19,752.9500122070312
2000-05-22,748.0399780273438
2000-05-23,732.5499877929688
2000-05-24,747.0999755859375
2000-05-25,736.9500122070312
2000-05-26,736.0800170898438
2000-05-30,761.4199829101562
2000-05-31,761.5499877929688
2000-06-01,777.5900268554688
2000-06-02,792.6900024414062
2000-06-05,790.75
2000-06-06,783.3900146484375
2000-06-07,791.1300048828125
2000-06-08,785.3300170898438
2000-06-09,779.7000122070312
2000-06-12,774.25
2000-06-13,789.4299926757812
2000-06-14,790.3499755859375
2000-06-15,798.8800048828125
2000-06-16,788.739990234375
2000-06-19,802.9099731445312
2000-06-20,797.5599975585938
2000-06-21,800.0
2000-06-22,785.0900268554688
2000-06-23,781.0700073242188
2000-06-26,789.2100219726562
2000-06-27,784.9400024414062
2000-06-28,788.0
2000-06-29,779.739990234375
2000-06-30,790.25
2000-07-03,796.030029296875
2000-07-05,783.3699951171875
2000-07-06,789.9199829101562
2000-07-07,803.0
2000-07-10,799.5900268554688
2000-07-11,801.0499877929688
2000-07-12,805.9099731445312
2000-07-13,808.030029296875
2000-07-14,815.52001953125
2000-07-17,817.75
2000-07-18,807.1900024414062
2000-07-19,802.9500122070312
2000-07-20,813.0900268554688
2000-07-21,804.5499877929688
2000-07-24,795.8300170898438
2000-07-25,802.4400024414062
2000-07-26,791.1900024414062
2000-07-27,793.0399780273438
2000-07-28,776.1799926757812
2000-07-31,782.6400146484375
2000-08-01,784.010009765625
2000-08-02,783.02001953125
2000-08-03,791.1400146484375
2000-08-04,795.8499755859375
2000-08-07,803.719970703125
2000-08-08,805.9600219726562
2000-08-09,807.0599975585938
2000-08-10,799.0399780273438
2000-08-11,804.75
2000-08-14,816.3400268554688
2000-08-15,811.8099975585938
2000-08-16,806.9099731445312
2000-08-17,815.0900268554688
2000-08-18,813.6400146484375
2000-08-21,818.4400024414062
2000-08-22,818.5800170898438
2000-08-23,822.8099975585938
2000-08-24,825.1500244140625
2000-08-25,823.5499877929688
2000-08-28,829.1900024414062
2000-08-29,827.2999877929688
2000-08-30,820.9299926757812
2000-08-31,827.4099731445312
2000-09-01,829.8300170898438
2000-09-05,823.489990234375
2000-09-06,814.280029296875
2000-09-07,818.030029296875
2000-09-08,812.9000244140625
2000-09-11,808.1199951171875
2000-09-12,802.5700073242188
2000-09-13,803.02001953125
2000-09-14,799.3400268554688
2000-09-15,789.77001953125
2000-09-18,778.9299926757812
2000-09-19,787.77001953125
2000-09-20,782.5499877929688
2000-09-21,780.3900146484375
2000-09-22,774.0800170898438
2000-09-25,766.010009765625
2000-09-26,756.8699951171875
2000-09-27,758.6300048828125
2000-09-28,773.3200073242188
2000-09-29,759.8300170898438
2000-10-02,763.260009765625
2000-10-03,758.030029296875
2000-10-04,762.030029296875
2000-10-05,764.4500122070312
