Date,Price,Return,Country,NATO,DEV,EXRATE,TRADE,PAST
2021-01-05,42434.3,0.002381566552052794,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-06,43085.06,0.015335707199128912,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-07,43900.7,0.018930924083661482,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-08,44393.21,0.011218727719603638,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-11,44715.79,0.007266426554871863,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-12,44246.56,-0.010493608633549867,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-13,44684.36,0.009894554514520593,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-14,44876.42,0.004298148166383076,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-15,44204.45,-0.014973788016067302,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-18,44755.59,0.012467975509252938,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-19,44610.0,-0.0032530014686432684,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-20,44103.4,-0.011356198161847075,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-21,44250.43,0.0033337565811253356,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-22,43630.22,-0.014015908997946469,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-25,43188.94,-0.010114090646345608,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-26,43507.13,0.007367395448927283,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-27,43077.24,-0.009880909175116748,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-28,43552.04,0.011022061766259972,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-01-29,43517.12,-0.0008017994105442572,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-01,43703.87,0.004291414505371627,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-02,44101.05,0.009087982368609415,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-03,44016.29,-0.001921949704145387,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-04,44226.34,0.0047720968759519256,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-05,44045.26,-0.004094392617611908,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-08,44215.97,0.003875785952903943,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-09,44511.16,0.006676094632776408,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-10,43950.78,-0.012589651673872493,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-11,43676.69,-0.0062362943274271165,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-12,43389.33,-0.0065792531439539115,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-15,43823.57,0.010007990443733572,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-16,44941.65,0.025513211269643232,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-17,44416.15,-0.01169293962282203,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-18,44046.56,-0.00832107240271851,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-19,44069.31,0.0005164989047952151,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-22,43457.15,-0.013890846033214443,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-23,42945.11,-0.011782641061367394,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-24,43183.45,0.005549875177872421,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-25,43999.47,0.018896591170923127,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-02-26,43790.17,-0.004756875480545597,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-01,44710.25,0.02101110820076757,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-02,44402.33,-0.006887011367639362,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-03,43595.22,-0.018177199259588384,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-04,42932.61,-0.015199143392326087,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-05,43269.0,0.007835302815272671,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-08,43540.36,0.006271464558922135,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-09,43312.66,-0.005229630623173498,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-10,43579.39,0.006158245649193539,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-11,43784.89,0.004715531814465601,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
2021-03-12,43711.84,-0.0016683837734891016,Hungary,1,0,312.81919555664064,154.527002936377,-0.004126414692101193
